#x     Curve1     Curve1-1     Curve1-2     Curve2     Curve2-1     Curve2-2     Curve3     Curve3-1     Curve3-2     Curve4     Curve4-1     Curve4-2     Curve5     Curve5-1     Curve5-2     Curve6     Curve6-1     Curve6-2     Curve7     Curve7-1     Curve7-2     Curve8     Curve8-1     Curve8-2
125.087     0.3492     0.22552     0.46539     0.35066     0.24167     0.46846     0.35841     0.24908     0.48285     0.40384     0.26744     0.49838     0.4074     0.29641     0.5225     0.4528     0.32666     0.55576     0.5464     0.51747     0.63134     0.64863     0.54624     0.75586
130.047     0.38682     0.28111     0.50017     0.395     0.29654     0.51537     0.40315     0.308     0.52603     0.43883     0.32605     0.55124     0.4853     0.35367     0.57932     0.54752     0.40903     0.63427     0.63773     0.52471     0.75152     0.79783     0.62745     0.96461
135.072     0.4447     0.33762     0.54372     0.43534     0.35554     0.56249     0.45143     0.36656     0.57521     0.49855     0.39443     0.60046     0.56539     0.43846     0.6493     0.62376     0.52635     0.73793     0.76222     0.63556     0.89216     0.98291     0.807     1.1475
140.097     0.49678     0.41165     0.59653     0.4983     0.42366     0.61291     0.51776     0.43166     0.62347     0.56816     0.45349     0.66623     0.63806     0.53181     0.72983     0.75921     0.63965     0.84901     0.92468     0.81997     1.04622     1.18836     1.03103     1.33503
145.121     0.56912     0.47072     0.65014     0.55609     0.49031     0.67665     0.58424     0.51303     0.69735     0.65359     0.55545     0.74524     0.74885     0.62919     0.83882     0.88414     0.80277     0.98412     1.10478     0.98616     1.22221     1.39779     1.23641     1.5484
150.017     0.63277     0.54885     0.71091     0.63801     0.57354     0.73241     0.68696     0.57879     0.76057     0.77033     0.65413     0.8283     0.85318     0.77285     0.94694     1.0348     0.94489     1.12255     1.26705     1.1541     1.37126     1.57983     1.44739     1.72498
154.977     0.7109     0.6374     0.77731     0.71987     0.65695     0.8077     0.76954     0.68899     0.84514     0.87278     0.80361     0.92811     0.98145     0.8996     1.06477     1.18063     1.09524     1.25123     1.44436     1.34031     1.53761     1.78482     1.64199     1.92041
160.001     0.8006     0.72604     0.86834     0.81652     0.74605     0.89176     0.87635     0.79251     0.93662     0.96937     0.89032     1.03628     1.11018     1.04742     1.18216     1.32613     1.24389     1.39041     1.60252     1.5054     1.69181     1.96194     1.8483     2.08804
164.961     0.88741     0.81216     0.95397     0.90188     0.83515     0.98027     0.98056     0.88472     1.02729     1.07909     1.00175     1.14316     1.23459     1.15949     1.29922     1.45592     1.39424     1.53777     1.75098     1.67066     1.83921     2.13986     2.03351     2.24308
170.114     0.98289     0.91476     1.04778     1.00709     0.93928     1.07668     1.08306     1.00839     1.13569     1.18795     1.11311     1.25698     1.36345     1.29304     1.43609     1.60888     1.53964     1.66906     1.91817     1.85025     1.98925     2.31757     2.21176     2.41294
